Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA111-7-coarse-anm-00190.dat -7.3193 6.8618 -7.3431 7.5222 -6.1643 5.2460 742.9 485.0 1.223 11.2 1.202 30 1.0050 16.12670 11.89900 10.40753 1.54952 1.14331
MA111-7-coarse-anm-00191.dat -6.6997 8.9467 -7.4883 6.7759 -2.6410 2.4892 382.8 387.9 1.521 9.0 1.749 28 0.9840 16.68629 13.22516 5.07335 3.28901 2.60679
MA111-7-coarse-anm-00194.dat -7.0898 7.5919 -5.9796 5.2856 -5.4957 4.9604 664.7 450.6 1.223 10.8 1.261 28 1.0311 16.57707 14.02676 7.66246 2.16341 1.83058
MA111-7-coarse-anm-00195.dat -3.3082 3.7522 -9.3133 10.7049 -7.5057 5.8253 511.2 473.9 1.533 9.9 1.842 24 1.0283 20.54756 13.50269 5.41238 3.79640 2.49478
MA111-7-coarse-anm-00196.dat -6.9622 7.2624 -8.9615 10.8301 -3.8257 3.4781 878.7 556.3 1.254 11.9 1.486 20 0.9752 21.20639 11.56922 8.04039 2.63748 1.43889
MA111-7-coarse-anm-00197.dat -4.3072 4.2310 -5.9485 6.5760 -3.2230 3.1507 178.6 220.0 1.434 7.0 1.785 30 0.9557 14.03492 6.95417 4.33161 3.24012 1.60545
MA111-7-coarse-anm-00198.dat -7.2596 5.9516 -7.9522 9.7262 -4.8849 5.0679 782.1 521.3 1.270 11.4 1.385 26 0.9930 20.55396 11.31077 8.99488 2.28507 1.25747
MA111-7-coarse-anm-00199.dat -5.0219 7.2644 -7.6191 6.6164 -5.4872 6.1063 638.6 449.8 1.254 10.7 1.183 30 0.9875 14.52924 13.91551 10.93052 1.32924 1.27309
MA111-7-coarse-anm-00200.dat -5.7472 7.0063 -4.5390 3.7479 -1.2676 1.7106 100.9 161.9 1.544 5.8 1.920 22 1.0120 12.81817 8.25547 2.95047 4.34444 2.79801
MA111-7-coarse-anm-00201.dat -6.0045 7.1346 -5.6566 5.0957 -6.3775 6.7550 678.0 454.1 1.217 10.9 1.188 30 0.9931 15.15337 13.69701 9.43785 1.60559 1.45128
MA111-7-coarse-anm-00202.dat -2.2408 2.5014 -5.3392 3.7443 -4.2838 4.0669 147.0 172.9 1.284 6.5 1.329 22 0.9927 10.00694 7.93601 4.75447 2.10474 1.66917
MA111-7-coarse-anm-00203.dat -3.6400 3.3898 -3.6561 4.1480 -4.9012 5.3138 203.5 199.0 1.189 7.3 1.270 14 1.0125 10.57117 8.28555 5.75041 1.83833 1.44086
MA111-7-coarse-anm-00204.dat -4.3031 5.6750 -9.0378 7.6417 -2.5334 3.3604 302.2 295.3 1.356 8.3 1.773 16 0.9928 16.70239 9.58518 4.76582 3.50462 2.01123
MA111-7-coarse-anm-00206.dat -3.9552 4.7542 -3.1907 2.7503 -2.5647 3.2598 137.9 157.8 1.223 6.4 1.156 24 0.9880 9.16657 7.15300 6.61366 1.38601 1.08155
MA111-7-coarse-anm-00207.dat -7.7312 6.7327 -7.8430 7.9494 -4.3326 6.0982 852.6 529.1 1.217 11.8 1.157 30 1.0051 15.96595 14.28472 10.99098 1.45264 1.29968
MA111-7-coarse-anm-00208.dat -11.6108 9.7413 -5.6838 6.7577 -2.6011 3.6788 655.3 499.9 1.370 10.8 1.697 30 1.0057 22.16478 12.27487 6.04361 3.66747 2.03105
MA111-7-coarse-anm-00209.dat -6.3991 5.6540 -5.9115 5.0822 -5.2259 5.8381 514.2 392.8 1.265 9.9 1.196 30 0.9915 14.73243 12.22908 7.68464 1.91713 1.59137
MA111-7-coarse-anm-00210.dat -4.7924 3.8418 -4.2725 4.1323 -2.6801 2.6256 145.5 164.6 1.230 6.5 1.172 20 0.9732 9.20985 7.71720 5.69061 1.61843 1.35613
MA111-7-coarse-anm-00211.dat -7.8649 9.4890 -5.6788 5.5271 -6.7186 6.4187 1037.0 612.7 1.237 12.6 1.279 30 0.9897 19.06117 15.60723 8.83208 2.15817 1.76711
MA111-7-coarse-anm-00212.dat -7.6132 4.9900 -6.4151 6.6183 -2.6090 1.7036 212.4 264.6 1.537 7.4 1.983 26 1.0112 15.81098 8.72877 3.90544 4.04845 2.23503
MA111-7-coarse-anm-00213.dat -6.3827 5.4917 -5.2757 5.1100 -5.6289 5.3829 435.5 347.3 1.250 9.4 1.336 22 1.0108 14.25912 12.33357 5.63306 2.53133 2.18950
MA111-7-coarse-anm-00215.dat -2.6382 2.1028 -3.8752 5.1442 -3.2403 4.5792 121.6 157.2 1.325 6.1 1.379 24 0.9837 9.66029 7.89433 4.42384 2.18369 1.78450
MA111-7-coarse-anm-00216.dat -5.6720 6.9762 -8.0571 7.4813 -3.7462 2.6348 536.8 423.7 1.326 10.1 1.427 24 0.9616 15.68785 14.77656 6.36077 2.46634 2.32308
MA111-7-coarse-anm-00217.dat -7.2990 7.0070 -4.9514 5.8531 -2.4496 2.6223 233.5 254.6 1.388 7.6 1.514 26 1.0436 14.40139 10.87054 4.42152 3.25711 2.45856
MA111-7-coarse-anm-00219.dat -4.4293 3.9225 -4.7815 4.3597 -4.2406 5.1321 289.8 250.8 1.184 8.2 1.175 30 0.9832 12.04142 9.06975 6.93618 1.73603 1.30760
MA111-7-coarse-anm-00221.dat -9.1561 7.4911 -7.3224 6.4909 -3.1714 2.3360 439.5 393.3 1.407 9.4 1.915 22 0.9856 20.21520 10.81816 4.87986 4.14258 2.21690
MA111-7-coarse-anm-00222.dat -3.5739 3.6531 -5.1784 3.8219 -3.8544 5.8963 252.5 235.7 1.220 7.8 1.159 30 1.0046 11.15164 9.82754 7.93759 1.40491 1.23810
MA111-7-coarse-anm-00223.dat -4.3922 5.8852 -2.4413 3.3219 -3.2797 2.7243 115.1 161.7 1.413 6.0 1.620 26 1.0039 11.08529 7.97984 3.85508 2.87550 2.06996
MA111-7-coarse-anm-00224.dat -7.4593 6.3212 -5.7848 7.5115 -3.6340 4.3250 505.1 394.9 1.287 9.9 1.303 26 0.9813 15.21465 12.49857 7.94749 1.91440 1.57264
MA111-7-coarse-anm-00225.dat -2.9533 2.6584 -5.5075 5.2662 -2.9873 2.2027 74.8 124.5 1.449 5.2 1.803 24 1.0339 11.69009 5.33510 4.15938 2.81054 1.28267
MA111-7-coarse-anm-00226.dat -2.1557 3.0071 -6.9195 6.4270 -3.9742 3.0539 147.7 197.2 1.460 6.6 2.003 18 1.0205 13.63574 7.15932 3.68513 3.70021 1.94276
MA111-7-coarse-anm-00227.dat -4.2265 3.9952 -3.8444 3.4149 -2.3604 2.3499 116.0 141.4 1.230 6.1 1.196 30 0.9976 8.26641 7.31635 4.55868 1.81334 1.60493
MA111-7-coarse-anm-00228.dat -3.2853 3.1196 -4.6565 5.2274 -1.7160 1.9576 92.6 133.2 1.346 5.6 1.423 30 1.0202 9.94376 6.01298 3.74440 2.65564 1.60586
MA111-7-coarse-anm-00229.dat -6.4170 5.4455 -4.1569 3.0501 -1.4778 1.6585 115.7 169.6 1.476 6.0 1.887 26 1.0001 12.01329 7.04654 3.16984 3.78988 2.22300
MA111-7-coarse-anm-00231.dat -3.9578 4.0886 -3.9149 3.8275 -0.7998 1.3124 37.5 84.3 1.557 4.2 2.230 18 1.0081 9.20599 5.31301 2.07349 4.43986 2.56235
MA111-7-coarse-anm-00232.dat -4.2936 4.7026 -7.5803 6.3043 -1.3852 1.8499 106.7 171.4 1.575 5.9 2.707 26 0.9810 15.52728 5.96142 3.00432 5.16832 1.98428
